"issn" "SJR" "PMID"
"13624962" 8.234 29156006
"13624962" 8.234 29878154
"13624962" 8.234 32319523
"13624962" 8.234 34469540
"13624962" 8.234 37177999
"13624962" 8.234 37094027
"13624962" 8.234 33245765
"13624962" 8.234 27742822
"13624962" 8.234 37260078
"13624962" 8.234 36156150
"13624962" 8.234 28911107
"13624962" 8.234 31691816
"13624962" 8.234 28911111
"13624962" 8.234 34009375
"13624962" 8.234 32379325
"13624962" 8.234 29294105
"13624962" 8.234 27924038
"13624962" 8.234 31732741
"14682060" 6.489 34844932
"14764598" 8.703 33530981
"14764598" 8.703 28982366
"14764598" 8.703 31665067
"15354970" 6.237 35943330
"15409538" 6.237 33760042
"15409538" 6.237 29997117
"15588238" 5.117 34228643
"18783686" 12.578 30612940
"19466242" 6.361 31118291
"20411723" 5.116 36167809
"20411723" 5.116 28530238
"20411723" 5.116 29042553
